"a cappella"
"Trompette Solo"
"Trompette 1"
"Trompette 2"
"2/3 Trompettes"
"Clavecin 1 Solo  "
"Clavecin 2 Solo "
"Clavecin 3 Solo  "
"Clavecin 4 Solo  "
"Piano 1 Solo"
"Cor Anglais 1"
"Cor Anglais 2"
"2 Pianos + Quatuor à Cds"
"4 Tubas"
"Orgue 4ms"
"Instruments Divers"
"2 Sax Alto"
"2 Sax Ténor"
"2/3 Voix"
"Harmonica diatonique"
"Cor Français"
"Piano 2/4 mains"
"Cordes"
"Piano Forte"
"Matériel SET"
"Piano Accompagnement"
"3 Flûtes à bev"
"Orgue / Basso continuo"
"Cornet/Trompette"
"Trompette/Cornet"
"Petite Caisse"
"2 Flûtes traversières"
"3 flutes"
"Chant"
"Viola da braccio (2)"
"Xylophone et Piano"
"Solfège Débutants"
"SolfègeLecture"
"SolfègeRythme"
"SolfègeMyn/Sup."
"SolfègeMoyen"
"ThéorieMesure"
"Théorie"
"Orgue et Cuivres"
"Full Score"
"Oud"
"Trmbne Fa"
"Trmbne Sol"
"Choeur à Capella"
"FlTrv"
"NotNouvelle"
"Orgue / Harmonium"
"Viole de gambe"
"instrument en Do"
"Rock Band"
"Euphonium FA"
"Euphonium Sol"
"Trio de Cordes"
"Choeur de flutes"
